city,country,continent,hemisphere,year,temp_annual_mean,temp_annual_avg_max,temp_annual_record_max,temp_annual_avg_min,temp_annual_record_min,temp_range_mean,anomaly_annual_mean,latitude,longitude
Berlin,Germany,Europe,Northern,2015,10.834520547945205,14.581369863013698,36.1,7.053424657534246,-8.2,7.527945205479451,0.05379765637894206,52.52,13.405
Berlin,Germany,Europe,Northern,2016,10.46448087431694,14.072131147540983,34.7,6.785792349726775,-12.8,7.286338797814208,-0.3162420172493235,52.52,13.405
Berlin,Germany,Europe,Northern,2017,9.966575342465754,13.504109589041096,30.0,6.498630136986302,-10.6,7.005479452054795,-0.81414754910051,52.52,13.405
Berlin,Germany,Europe,Northern,2018,11.186849315068493,15.338630136986302,36.6,7.104931506849316,-12.4,8.233698630136987,0.4061264235022298,52.52,13.405
Berlin,Germany,Europe,Northern,2019,11.452054794520548,15.51095890410959,37.3,7.430684931506849,-7.2,8.08027397260274,0.6713319029542846,52.52,13.405
Berlin,Germany,Europe,Northern,2020,11.272404371584699,15.152732240437157,35.5,7.350273224043716,-4.7,7.802459016393442,0.491681480018436,52.52,13.405
Berlin,Germany,Europe,Northern,2021,9.788767123287672,13.524109589041096,34.5,6.058904109589041,-14.9,7.465205479452055,-0.9919557682785923,52.52,13.405
Berlin,Germany,Europe,Northern,2022,10.990958904109588,15.164657534246576,37.7,6.841095890410959,-10.5,8.323561643835616,0.21023601254332566,52.52,13.405
Berlin,Germany,Europe,Northern,2023,11.14,14.995616438356164,34.5,7.244931506849316,-7.9,7.750684931506849,0.3592771084337366,52.52,13.405
Berlin,Germany,Europe,Northern,2024,11.74672131147541,15.643169398907103,34.1,7.945081967213115,-10.6,7.698087431693989,0.9659984199091465,52.52,13.405
Buenos Aires,Argentina,South America,Southern,2015,17.82849315068493,21.354520547945203,33.3,14.595342465753426,2.6,6.759178082191781,0.23566730183498705,-34.6037,-58.3816
Buenos Aires,Argentina,South America,Southern,2016,17.068852459016394,20.453005464480874,35.2,14.018579234972679,1.8,6.434426229508197,-0.523973389833551,-34.6037,-58.3816
Buenos Aires,Argentina,South America,Southern,2017,18.076164383561643,21.546849315068496,35.4,14.746575342465754,0.9,6.8002739726027395,0.48333853471169935,-34.6037,-58.3816
Buenos Aires,Argentina,South America,Southern,2018,17.60931506849315,21.046575342465754,36.2,14.265753424657534,-0.1,6.780821917808219,0.016489219643206238,-34.6037,-58.3816
Buenos Aires,Argentina,South America,Southern,2019,17.382739726027395,20.959999999999997,36.5,13.817534246575342,-0.7,7.142465753424657,-0.21008612282254732,-34.6037,-58.3816
Buenos Aires,Argentina,South America,Southern,2020,17.415300546448087,21.05109289617486,34.0,13.91502732240437,0.6,7.136065573770492,-0.17752530240185707,-34.6037,-58.3816
Buenos Aires,Argentina,South America,Southern,2021,17.510684931506848,20.975616438356166,35.7,14.204383561643837,1.6,6.771232876712329,-0.08214091734309523,-34.6037,-58.3816
Buenos Aires,Argentina,South America,Southern,2022,17.106301369863015,20.9172602739726,38.9,13.471232876712328,0.4,7.446027397260274,-0.4865244789869308,-34.6037,-58.3816
Buenos Aires,Argentina,South America,Southern,2023,18.125205479452056,21.894794520547947,36.7,14.464657534246577,-0.2,7.4301369863013695,0.5323796306021104,-34.6037,-58.3816
Buenos Aires,Argentina,South America,Southern,2024,17.67896174863388,21.51967213114754,36.1,14.059289617486339,-1.4,7.4603825136612025,0.08613589978393528,-34.6037,-58.3816
Cairo,Egypt,Africa,Northern,2015,22.526027397260275,29.180000000000003,45.5,15.846301369863014,4.2,13.333698630136986,-0.3199200288076312,30.0444,31.2357
Cairo,Egypt,Africa,Northern,2016,22.954918032786885,29.84863387978142,45.1,16.112021857923498,3.7,13.736612021857924,0.10897060671898004,30.0444,31.2357
Cairo,Egypt,Africa,Northern,2017,22.353424657534248,28.93643835616438,41.3,16.2772602739726,3.8,12.659178082191781,-0.4925227685336587,30.0444,31.2357
Cairo,Egypt,Africa,Northern,2018,23.391506849315068,29.845479452054796,43.8,17.3813698630137,6.6,12.464109589041096,0.5455594232471632,30.0444,31.2357
Cairo,Egypt,Africa,Northern,2019,23.003561643835614,29.66082191780822,44.3,16.66958904109589,3.8,12.99123287671233,0.1576142177677112,30.0444,31.2357
Cairo,Egypt,Africa,Northern,2020,23.331967213114755,30.11311475409836,44.3,16.96775956284153,5.4,13.14535519125683,0.48601978704684895,30.0444,31.2357
Cairo,Egypt,Africa,Northern,2021,23.6586301369863,30.73013698630137,44.4,16.99917808219178,5.8,13.73095890410959,0.8126827109183963,30.0444,31.2357
Cairo,Egypt,Africa,Northern,2022,22.744931506849316,29.647945205479452,44.1,16.162191780821917,3.7,13.485753424657535,-0.10101591921859014,30.0444,31.2357
Cairo,Egypt,Africa,Northern,2023,23.809041095890407,30.77972602739726,44.7,17.080547945205478,4.6,13.69917808219178,0.9630936698225059,30.0444,31.2357
Cairo,Egypt,Africa,Northern,2024,24.20300546448087,31.29562841530055,46.3,17.39535519125683,5.4,13.900273224043715,1.3570580384129693,30.0444,31.2357
Cape Town,South Africa,Africa,Southern,2015,17.254794520547946,21.25890410958904,36.0,13.808767123287671,4.1,7.45013698630137,0.10868280094224986,-33.9249,18.4241
Cape Town,South Africa,Africa,Southern,2016,17.406830601092896,21.56775956284153,34.2,13.8172131147541,4.4,7.750546448087431,0.26071888148720085,-33.9249,18.4241
Cape Town,South Africa,Africa,Southern,2017,17.026027397260275,21.208493150684934,36.0,13.59835616438356,5.7,7.610136986301369,-0.1200843223454214,-33.9249,18.4241
Cape Town,South Africa,Africa,Southern,2018,17.06109589041096,21.044383561643834,35.3,13.757534246575343,6.3,7.286849315068492,-0.08501582919473649,-33.9249,18.4241
Cape Town,South Africa,Africa,Southern,2019,16.98109589041096,20.785479452054794,35.2,13.848767123287672,5.6,6.936712328767124,-0.1650158291947365,-33.9249,18.4241
Cape Town,South Africa,Africa,Southern,2020,16.895628415300546,20.911475409836065,35.7,13.518579234972679,5.8,7.392896174863388,-0.25048330430514903,-33.9249,18.4241
Cape Town,South Africa,Africa,Southern,2021,16.761917808219177,20.651232876712328,33.5,13.59068493150685,5.1,7.060547945205479,-0.3841939113865172,-33.9249,18.4241
Cape Town,South Africa,Africa,Southern,2022,17.019726027397258,21.10904109589041,36.2,13.634246575342466,6.2,7.474794520547945,-0.12638569220843504,-33.9249,18.4241
Cape Town,South Africa,Africa,Southern,2023,16.633424657534245,20.73780821917808,35.4,13.246575342465754,3.6,7.4912328767123295,-0.5126870620714488,-33.9249,18.4241
Cape Town,South Africa,Africa,Southern,2024,16.993715846994537,21.7655737704918,38.0,13.217759562841529,3.5,8.547814207650273,-0.15239587261115983,-33.9249,18.4241
Delhi,India,Asia,Northern,2015,24.382465753424658,30.111780821917804,44.1,19.10356164383562,4.8,11.008219178082191,-0.25800522138366594,28.6139,77.209
Delhi,India,Asia,Northern,2016,25.18360655737705,31.066120218579236,43.1,19.713387978142077,4.8,11.35273224043716,0.5431355825687257,28.6139,77.209
Delhi,India,Asia,Northern,2017,24.81616438356164,30.714520547945202,44.0,19.60356164383562,4.2,11.110958904109589,0.17569340875332023,28.6139,77.209
Delhi,India,Asia,Northern,2018,24.516712328767124,30.492602739726024,43.0,19.320273972602738,4.8,11.172328767123288,-0.12375864604120025,28.6139,77.209
Delhi,India,Asia,Northern,2019,24.30191780821918,29.890958904109592,44.1,19.314520547945207,2.0,10.576438356164385,-0.33855316658914536,28.6139,77.209
Delhi,India,Asia,Northern,2020,24.012021857923497,29.769398907103827,44.2,18.87431693989071,2.9,10.895081967213114,-0.6284491168848263,28.6139,77.209
Delhi,India,Asia,Northern,2021,24.465479452054794,30.24904109589041,43.2,19.403013698630136,3.5,10.846027397260274,-0.17499152275352903,28.6139,77.209
Delhi,India,Asia,Northern,2022,24.775890410958905,30.726301369863016,45.3,19.601095890410956,4.7,11.125205479452054,0.13541943615058055,28.6139,77.209
Delhi,India,Asia,Northern,2023,24.097534246575343,30.130684931506853,43.6,18.987123287671235,3.2,11.143561643835616,-0.5429367282329811,28.6139,77.209
Delhi,India,Asia,Northern,2024,24.779234972677596,30.6051912568306,46.0,19.518579234972677,3.8,11.086612021857922,0.1387639978692721,28.6139,77.209
London,United Kingdom,Europe,Northern,2015,11.01068493150685,14.332328767123288,32.5,7.524383561643836,-3.5,6.807945205479452,-0.11719020540443252,51.5072,-0.1276
London,United Kingdom,Europe,Northern,2016,10.907650273224043,14.293169398907104,29.8,7.477868852459016,-4.0,6.815300546448087,-0.2202248636872381,51.5072,-0.1276
London,United Kingdom,Europe,Northern,2017,11.176438356164384,14.732328767123288,31.5,7.583835616438356,-4.8,7.148493150684931,0.04856321925310174,51.5072,-0.1276
London,United Kingdom,Europe,Northern,2018,11.453698630136987,15.407123287671235,32.7,7.52986301369863,-6.0,7.8772602739726025,0.3258234932257045,51.5072,-0.1276
London,United Kingdom,Europe,Northern,2019,11.091506849315069,14.949315068493151,35.2,7.23013698630137,-4.9,7.719178082191781,-0.036368287596213356,51.5072,-0.1276
London,United Kingdom,Europe,Northern,2020,11.644262295081967,15.509016393442623,33.8,7.774590163934426,-3.4,7.734426229508197,0.5163871581706855,51.5072,-0.1276
London,United Kingdom,Europe,Northern,2021,10.756986301369864,14.34191780821918,29.1,7.079178082191781,-10.3,7.262739726027397,-0.37088883554141877,51.5072,-0.1276
London,United Kingdom,Europe,Northern,2022,11.938356164383562,16.057534246575344,37.9,7.78027397260274,-5.5,8.277260273972603,0.8104810274722798,51.5072,-0.1276
London,United Kingdom,Europe,Northern,2023,11.646575342465754,15.529863013698629,31.4,7.8690410958904105,-4.7,7.660821917808219,0.5187002055544715,51.5072,-0.1276
London,United Kingdom,Europe,Northern,2024,11.723770491803277,15.290163934426229,31.2,8.268852459016394,-5.1,7.021311475409837,0.5958953548919969,51.5072,-0.1276
Los Angeles,USA,North America,Northern,2015,19.276986301369863,26.49205479452055,39.3,13.061095890410959,-0.1,13.43095890410959,0.7622546474815833,34.0522,-118.2437
Los Angeles,USA,North America,Northern,2016,18.811748633879784,26.017486338797813,43.1,12.780601092896175,1.2,13.23688524590164,0.29701697999150156,34.0522,-118.2437
Los Angeles,USA,North America,Northern,2017,18.786849315068494,25.87095890410959,42.0,13.651780821917807,2.8,12.219178082191782,0.27211766118021335,34.0522,-118.2437
Los Angeles,USA,North America,Northern,2018,18.39205479452055,25.36794520547945,45.1,13.371780821917808,1.6,11.996164383561645,-0.12267685936773186,34.0522,-118.2437
Los Angeles,USA,North America,Northern,2019,17.305205479452052,23.966027397260277,38.5,12.403013698630138,1.2,11.563013698630137,-1.2095261744362251,34.0522,-118.2437
Los Angeles,USA,North America,Northern,2020,18.5672131147541,26.00601092896175,44.0,13.077868852459016,2.0,12.928142076502732,0.05248146086581857,34.0522,-118.2437
Los Angeles,USA,North America,Northern,2021,17.822465753424655,25.223013698630137,38.8,12.43013698630137,1.5,12.792876712328766,-0.6922659004636224,34.0522,-118.2437
Los Angeles,USA,North America,Northern,2022,18.2786301369863,25.74082191780822,43.0,12.758356164383562,0.9,12.982465753424659,-0.23610151690197842,34.0522,-118.2437
Los Angeles,USA,North America,Northern,2023,16.944383561643836,23.53205479452055,36.3,12.132602739726027,1.2,11.399452054794521,-1.5703480922444442,34.0522,-118.2437
Los Angeles,USA,North America,Northern,2024,17.404371584699454,24.47213114754098,45.7,12.351639344262294,2.2,12.12049180327869,-1.1103600691888262,34.0522,-118.2437
Nairobi,Kenya,Africa,Southern,2015,19.35945205479452,24.85890410958904,31.3,14.675616438356165,9.8,10.183287671232877,0.3334936758240911,-1.2921,36.8219
Nairobi,Kenya,Africa,Southern,2016,19.25928961748634,24.706557377049183,30.4,14.636612021857923,11.0,10.069945355191257,0.2333312385159094,-1.2921,36.8219
Nairobi,Kenya,Africa,Southern,2017,19.202465753424658,25.389041095890413,31.5,14.454794520547946,10.1,10.934246575342465,0.1765073744542281,-1.2921,36.8219
Nairobi,Kenya,Africa,Southern,2018,18.283835616438356,23.873972602739727,30.5,14.214520547945206,8.1,9.65945205479452,-0.7421227625320733,-1.2921,36.8219
Nairobi,Kenya,Africa,Southern,2019,19.024109589041096,24.937260273972605,31.5,14.812876712328766,9.9,10.124383561643835,-0.0018487899293335834,-1.2921,36.8219
Nairobi,Kenya,Africa,Southern,2020,18.493989071038254,23.915300546448087,28.2,14.59207650273224,9.1,9.323224043715847,-0.5319693079321779,-1.2921,36.8219
Nairobi,Kenya,Africa,Southern,2021,18.606027397260274,24.55561643835616,28.9,14.086575342465755,8.8,10.469041095890411,-0.4199309817101554,-1.2921,36.8219
Nairobi,Kenya,Africa,Southern,2022,18.63972602739726,24.984109589041097,30.0,13.664383561643836,8.9,11.31972602739726,-0.3862323515731691,-1.2921,36.8219
Nairobi,Kenya,Africa,Southern,2023,19.252328767123288,25.663835616438355,30.5,14.395342465753425,10.3,11.26849315068493,0.22637038815285837,-1.2921,36.8219
Nairobi,Kenya,Africa,Southern,2024,19.415300546448087,25.94781420765027,31.1,14.339344262295082,9.4,11.608469945355191,0.38934216747765793,-1.2921,36.8219
New York,USA,North America,Northern,2015,11.757534246575343,16.316986301369862,33.5,7.523287671232877,-19.8,8.793698630136985,-0.42390058365466793,40.7128,-74.006
New York,USA,North America,Northern,2016,12.53688524590164,17.073224043715847,35.0,8.48032786885246,-18.7,8.592896174863387,0.355450415671629,40.7128,-74.006
New York,USA,North America,Northern,2017,12.37945205479452,16.563835616438357,34.3,8.546301369863015,-16.0,8.017534246575343,0.19801722456451012,40.7128,-74.006
New York,USA,North America,Northern,2018,12.142191780821916,16.28219178082192,34.2,8.317534246575343,-20.5,7.964657534246575,-0.039243049408092555,40.7128,-74.006
New York,USA,North America,Northern,2019,12.090136986301369,16.375342465753423,35.2,8.122191780821918,-16.5,8.253150684931507,-0.09129784392864057,40.7128,-74.006
New York,USA,North America,Northern,2020,12.89016393442623,17.25928961748634,36.0,8.934699453551913,-9.5,8.324590163934428,0.7087291041962192,40.7128,-74.006
New York,USA,North America,Northern,2021,12.778082191780822,17.066301369863012,35.6,8.777260273972603,-11.5,8.289041095890411,0.5966473615508116,40.7128,-74.006
New York,USA,North America,Northern,2022,12.495616438356164,17.21972602739726,37.5,8.203013698630137,-17.2,9.016712328767124,0.314181608126154,40.7128,-74.006
New York,USA,North America,Northern,2023,13.007397260273972,17.906575342465754,35.9,8.596438356164382,-16.5,9.31013698630137,0.8259624300439622,40.7128,-74.006
New York,USA,North America,Northern,2024,13.044535519125684,18.129234972677597,36.3,8.491803278688524,-14.9,9.637431693989072,0.8631006888956727,40.7128,-74.006
Paris,France,Europe,Northern,2015,12.244657534246576,16.20986301369863,37.1,8.24027397260274,-3.5,7.96958904109589,0.08731908955873399,48.8566,2.3522
Paris,France,Europe,Northern,2016,11.702459016393444,15.500819672131149,35.4,7.946174863387979,-5.4,7.554644808743169,-0.45487942829439876,48.8566,2.3522
Paris,France,Europe,Northern,2017,12.03178082191781,16.235068493150685,35.5,8.045479452054794,-6.8,8.18958904109589,-0.1255576227700332,48.8566,2.3522
Paris,France,Europe,Northern,2018,12.567671232876712,16.865753424657534,35.5,8.318082191780821,-8.6,8.547671232876713,0.4103327881888709,48.8566,2.3522
